BS	p	1.00000000	304038
1	h	1.00000000	835200
1	K+	1.00000000	681200
p	A_titi	1.00000000	1207262
h	s	1.00000000	2862300
r	KATR	1.00000000	100895670
W+	h	1.00000000	689040
s	A	1.00000000	3026142
PY	p	1.00000000	3376422
K+	A_titi	1.00000000	1245286
3	C	1.00000000	4180
K	Bw	1.00000000	1554
H	1	1.00000000	26520
A*	r	0.99999810	14725314
KA	W	1.00000000	90300
A*	x	1.00000000	54
Bw	BO	1.00000000	6090
KATR	C	1.00000000	40700
W	BS	1.00000000	14706
1	KATR	1.00000000	5461200
BS	KATR	1.00000000	2594070
H	B	0.99998232	4694550
K+	H	1.00000000	35632
BS	4	1.00000000	21318
4	K	1.00000000	45288
K+	s	1.00000000	2585940
s	H	1.00000000	38352
B	1	1.00000000	820560
A_titi	r	0.99999981	53447436
H	Bw	1.00000000	714
KATR	B	1.00000000	102175500
A	KA	1.00000000	360150
W	A_titi	1.00000000	408758
KA	h	1.00000000	1044000
2	1	1.00000000	117000
KA	K+	1.00000000	851500
A_titi	A*	1.00000000	68796
A	3	1.00000000	206682
W	2	1.00000000	238650
p	4	1.00000000	142494
h	A*	1.00000000	101790
B	2	1.00000000	2919300
s	3	1.00000000	198246
KATR	A	1.00000000	7940940
PY	s	1.00000000	4165140
W	KATR	1.00000000	5870790
K	C	1.00000000	4070
Bw	2	1.00000000	38850
H	KA	1.00000000	41650
KATR	2	1.00000000	2053500
A	Bw	1.00000000	6174
h	H	1.00000000	39440
BS	A_titi	1.00000000	180614
A	p	1.00000000	2352294
B	3	1.00000000	739556
h	BO	1.00000000	126150
Nscrm	K+	1.00000000	647140
W+	PY	1.00000000	1462230
A	B	0.99999970	40594050
4	x	1.00000000	68
2	3	0.99917496	105450
Bw	h	1.00000000	146160
r	1	1.00000000	1152840
PY	W+	1.00000000	222816
x	2	1.00000000	11100
A	BO	1.00000000	127890
B	4	1.00000000	590172
K+	2	1.00000000	727050
2	x	1.00000000	150
BS	A	1.00000000	407778
KATR	W+	1.00000000	390720
BO	Bw	1.00000000	1260
BO	p	1.00000000	480060
x	3	1.00000000	2812
PY	KA	1.00000000	516950
p	C	1.00000000	13970
A	H	1.00000000	39984
r	BS	1.00000000	252738
K	K+	0.99890337	630110
BO	A_titi	1.00000000	285180
K+	4	1.00000000	146982
r	BO	1.00000000	642930
KATR	h	0.99999987	7725600
Bw	W	1.00000000	12642
W+	W	1.00000000	59598
4	W+	1.00000000	35904
B	p	1.00000000	8417052
BO	r	0.99998686	16361460
3	KATR	1.00000000	5188140
C	h	1.00000000	229680
PY	h	1.00000000	4405680
KA	BS	1.00000000	17100
A_titi	A	1.00000000	2103276
Bw	A_titi	1.00000000	66542
W+	KATR	1.00000000	4505490
3	4	1.00000000	42636
A*	W+	1.00000000	28512
Bw	A*	1.00000000	4914
BS	3	1.00000000	26714
KATR	K+	1.00000000	6301100
B	A_titi	0.99999600	5000156
A*	p	1.00000000	432054
BO	A*	1.00000000	21060
KATR	K	1.00000000	492840
Nscrm	W+	1.00000000	40128
K	2	1.00000000	205350
KATR	4	1.00000000	415140
r	x	1.00000000	1478
B	r	0.99999699	286870932
K+	p	1.00000000	2096262
3	K+	1.00000000	647140
PY	3	1.00000000	296666
4	Bw	1.00000000	1428
W	KA	1.00000000	105350
A_titi	H	1.00000000	26656
3	KA	1.00000000	93100
A*	A_titi	1.00000000	256662
A_titi	BO	1.00000000	85260
KATR	3	1.00000000	520220
B	s	1.00000000	10383240
KA	W+	1.00000000	52800
KA	r	1.00000000	27269100
H	2	1.00000000	94350
r	PY	1.00000000	32745090
Nscrm	KA	1.00000000	93100
3	x	1.00000000	76
x	r	0.99999817	1090764
A_titi	PY	1.00000000	4342380
W+	r	1.00000000	17997606
W	Bw	1.00000000	1806
K+	r	1.00000000	71445042
h	PY	1.00000000	6424950
KA	B	0.99999986	13807500
2	A	1.00000000	1609650
A*	s	1.00000000	532980
A	C	1.00000000	16170
KATR	H	1.00000000	100640
4	r	1.00000000	18542988
W+	A	1.00000000	708246
x	s	1.00000000	39480
KATR	1	1.00000000	577200
Bw	p	1.00000000	112014
h	1	1.00000000	226200
Bw	H	1.00000000	1904
Bw	B	0.99997724	1933050
W+	A*	1.00000000	23166
K	Nscrm	1.00000000	52022
Nscrm	B	0.99999676	10493700
A*	BO	1.00000000	23490
4	A	1.00000000	729708
BS	BO	1.00000000	16530
C	r	0.99999850	5999202
BO	h	1.00000000	626400
B	A*	1.00000000	369252
BS	H	1.00000000	5168
2	C	1.00000000	8250
Nscrm	A	1.00000000	815556
Nscrm	4	1.00000000	42636
x	KATR	1.00000000	273060
BO	1	1.00000000	46800
r	p	1.00000000	11825478
A	4	1.00000000	164934
r	2	1.00000000	4101450
K+	W+	1.00000000	138336
A_titi	KA	1.00000000	240100
B	BO	1.00000000	457620
x	W+	1.00000000	2112
BO	3	1.00000000	42180
C	K	1.00000000	14652
p	3	1.00000000	178562
A	Nscrm	1.00000000	206682
PY	4	1.00000000	236742
B	x	1.00000000	1052
h	4	1.00000000	162690
K+	A*	1.00000000	91962
C	W+	1.00000000	11616
BO	4	1.00000000	33660
s	PY	1.00000000	6247710
H	p	1.00000000	272034
A*	1	1.00000000	42120
p	H	1.00000000	34544
BS	K	1.00000000	25308
KA	3	1.00000000	70300
A*	h	1.00000000	563760
C	PY	1.00000000	487410
W	x	1.00000000	86
KATR	s	1.00000000	7303800
A_titi	Nscrm	1.00000000	137788
K	BS	1.00000000	12654
H	r	1.00000000	9271494
A*	2	1.00000000	149850
Nscrm	2	1.00000000	210900
K	A_titi	1.00000000	351722
K+	x	1.00000000	262
W+	A_titi	1.00000000	313698
Nscrm	KATR	1.00000000	5188140
BO	PY	1.00000000	1329300
s	x	1.00000000	282
p	PY	1.00000000	5627370
C	BO	1.00000000	9570
W+	2	1.00000000	183150
PY	BS	1.00000000	72162
1	A	1.00000000	858480
h	p	1.00000000	2320290
KA	x	1.00000000	100
W	PY	1.00000000	1905330
A*	3	1.00000000	37962
K	W	1.00000000	66822
4	2	0.99348172	188700
W	B	0.99999832	11874450
KA	1	1.00000000	78000
3	B	1.00000000	10493700
H	K+	1.00000000	289510
3	p	1.00000000	608076
K	s	1.00000000	730380
3	Bw	1.00000000	1596
A*	4	1.00000000	30294
x	H	1.00000000	544
r	A*	1.00000000	518778
3	A	1.00000000	815556
KATR	p	1.00000000	5920740
A_titi	4	1.00000000	109956
4	BS	1.00000000	11628
KATR	Bw	1.00000000	15540
BO	2	1.00000000	166500
4	H	1.00000000	9248
Bw	x	1.00000000	14
K	H	1.00000000	10064
A*	PY	1.00000000	1196370
K	r	1.00000000	20179134
1	KA	1.00000000	98000
Bw	KA	1.00000000	17150
2	BS	1.00000000	25650
2	K	1.00000000	99900
Bw	K+	1.00000000	119210
K	p	1.00000000	592074
3	A_titi	1.00000000	361228
B	PY	1.00000000	23307060
PY	Nscrm	1.00000000	296666
A_titi	KATR	1.00000000	13379940
s	1	1.00000000	219960
C	Nscrm	1.00000000	15466
2	W+	1.00000000	79200
W	K+	1.00000000	732290
K	A	1.00000000	794094
BS	x	1.00000000	38
3	PY	1.00000000	1683780
x	h	1.00000000	41760
Bw	4	1.00000000	7854
B	W+	1.00000000	555456
r	Bw	1.00000000	31038
KA	s	1.00000000	987000
K+	BO	1.00000000	113970
h	Nscrm	1.00000000	203870
Bw	A	1.00000000	150234
C	x	1.00000000	22
Nscrm	PY	1.00000000	1683780
W+	K	1.00000000	43956
Bw	KATR	1.00000000	955710
r	3	1.00000000	1039034
K+	PY	1.00000000	5804610
A	h	1.00000000	3069360
BS	C	1.00000000	2090
Nscrm	BO	1.00000000	33060
BS	2	1.00000000	105450
x	1	1.00000000	3120
r	H	1.00000000	201008
s	B	0.99998754	38937150
K+	Nscrm	1.00000000	184186
p	A	1.00000000	2725674
s	p	1.00000000	2256282
K	3	1.00000000	52022
1	W	1.00000000	72240
Nscrm	H	1.00000000	10336
PY	2	1.00000000	1171050
KA	p	1.00000000	800100
W+	Bw	1.00000000	1386
h	KATR	1.00000000	19796850
3	h	1.00000000	793440
r	A	1.00000000	15860418
1	W+	1.00000000	42240
2	BO	1.00000000	65250
s	KATR	1.00000000	19250730
PY	KATR	1.00000000	28807830
K	BO	1.00000000	32190
PY	Bw	1.00000000	8862
KATR	x	1.00000000	740
4	B	1.00000000	9389100
A	A*	1.00000000	103194
3	W	1.00000000	68628
3	2	0.99321479	210900
PY	W	1.00000000	381066
x	4	1.00000000	2244
s	4	1.00000000	158202
PY	r	0.99999997	115075602
PY	x	1.00000000	422
C	s	1.00000000	217140
H	C	1.00000000	1870
3	1	1.00000000	59280
H	BO	1.00000000	14790
p	W	1.00000000	229362
s	K+	1.00000000	2401230
KA	4	1.00000000	56100
A	K	1.00000000	195804
4	1	1.00000000	53040
A_titi	3	1.00000000	137788
1	B	1.00000000	11046000
K	x	1.00000000	74
2	H	1.00000000	20400
BS	W	1.00000000	34314
p	BS	1.00000000	43434
3	BO	1.00000000	33060
W+	Nscrm	1.00000000	46398
r	s	0.99995983	14587860
s	W	1.00000000	254646
A_titi	Bw	1.00000000	4116
x	p	1.00000000	32004
A	W+	1.00000000	155232
PY	A	0.99997306	4528482
B	h	1.00000000	10982880
W+	BO	1.00000000	28710
W+	H	1.00000000	8976
C	p	1.00000000	176022
W+	C	1.00000000	3630
3	s	1.00000000	750120
r	A_titi	1.00000000	7024934
p	x	1.00000000	254
A_titi	2	1.00000000	543900
A	A_titi	1.00000000	1397382
r	K+	1.00000000	12585170
W	p	1.00000000	688086
Nscrm	h	1.00000000	793440
H	A	1.00000000	364854
K+	h	1.00000000	2735280
2	W	1.00000000	135450
r	W	1.00000000	1334634
x	B	0.99981170	552300
h	W+	1.00000000	153120
r	4	1.00000000	829158
BS	Bw	1.00000000	798
1	A*	1.00000000	28080
B	Nscrm	1.00000000	739556
H	4	1.00000000	19074
C	4	1.00000000	12342
BS	K+	1.00000000	323570
2	A_titi	1.00000000	712950
3	r	1.00000000	20724516
2	Nscrm	1.00000000	105450
x	C	1.00000000	220
p	1	1.00000000	198120
Bw	PY	1.00000000	310170
Nscrm	BS	1.00000000	12996
3	W+	1.00000000	40128
C	3	1.00000000	15466
s	KA	1.00000000	345450
h	W	1.00000000	261870
K+	KATR	1.00000000	17885430
A_titi	W	1.00000000	176988
x	KA	1.00000000	4900
x	Nscrm	1.00000000	2812
3	BS	1.00000000	12996
A*	KATR	1.00000000	3686310
BO	H	1.00000000	8160
h	x	1.00000000	290
A_titi	s	1.00000000	1934520
H	W	1.00000000	30702
PY	A_titi	1.00000000	2005766
4	KA	1.00000000	83300
h	BS	1.00000000	49590
H	K	1.00000000	22644
W	3	1.00000000	60458
r	B	0.99999903	204074850
r	Nscrm	1.00000000	1039034
KATR	BS	1.00000000	126540
