BS	p	0.86800005	304038
1	h	0.65791427	835200
1	K+	0.90230916	681200
p	A_titi	0.78401623	1207262
h	s	0.79209063	2862300
r	KATR	0.89616908	100895670
W+	h	0.62672994	689040
s	A	0.95134861	3026142
PY	p	0.56120029	3376422
K+	A_titi	0.87862628	1245286
3	C	0.75598086	4180
K	Bw	0.99871300	1554
H	1	0.80086727	26520
A*	r	0.52847987	14725314
KA	W	0.68188261	90300
A*	x	1.00000000	54
Bw	BO	0.66124795	6090
KATR	C	0.75579853	40700
W	BS	0.88922889	14706
1	KATR	0.62496539	5461200
BS	KATR	0.92480542	2594070
H	B	0.78467095	4694550
K+	H	0.75903682	35632
BS	4	0.91744066	21318
4	K	0.55451775	45288
K+	s	0.74692684	2585940
s	H	0.77349291	38352
B	1	0.94720800	820560
A_titi	r	0.47651575	53447436
H	Bw	1.00000000	714
KATR	B	0.83079007	102175500
A	KA	0.94791337	360150
W	A_titi	0.94137607	408758
KA	h	0.65518582	1044000
2	1	0.84759829	117000
KA	K+	0.90567939	851500
A_titi	A*	0.85227339	68796
A	3	0.87903639	206682
W	2	0.88734549	238650
p	4	0.63747947	142494
h	A*	0.78849592	101790
B	2	0.93511767	2919300
s	3	0.99156603	198246
KATR	A	0.98355233	7940940
PY	s	0.85976390	4165140
W	KATR	0.85168129	5870790
K	C	0.63439803	4070
Bw	2	0.94821107	38850
H	KA	0.80112845	41650
KATR	2	0.95332700	2053500
A	Bw	0.99902818	6174
h	H	0.87015720	39440
BS	A_titi	0.82907194	180614
A	p	0.66107765	2352294
B	3	0.99944020	739556
h	BO	0.72201348	126150
Nscrm	K+	0.56278394	647140
W+	PY	0.93827510	1462230
A	B	0.83340142	40594050
4	x	1.00000000	68
2	3	0.65592224	105450
Bw	h	0.53187603	146160
r	1	0.91101280	1152840
PY	W+	0.53043318	222816
x	2	0.92585586	11100
A	BO	0.88863867	127890
B	4	0.89141979	590172
K+	2	0.87064989	727050
2	x	1.00000000	150
BS	A	0.98509238	407778
KATR	W+	0.65359848	390720
BO	Bw	0.97619048	1260
BO	p	0.90353497	480060
x	3	1.00000000	2812
PY	KA	0.95916820	516950
p	C	0.75934145	13970
A	H	0.87107343	39984
r	BS	0.79699926	252738
K	K+	0.52392757	630110
BO	A_titi	0.88350515	285180
K+	4	0.83621124	146982
r	BO	0.78950586	642930
KATR	h	0.60926517	7725600
Bw	W	0.87691821	12642
W+	W	0.63351119	59598
4	W+	0.53047014	35904
B	p	0.82015687	8417052
BO	r	0.50992790	16361460
3	KATR	0.92450917	5188140
C	h	0.57616249	229680
PY	h	0.54292504	4405680
KA	BS	0.90631579	17100
A_titi	A	0.95391903	2103276
Bw	A_titi	0.56855820	66542
W+	KATR	0.88927397	4505490
3	4	0.43662633	42636
A*	W+	0.54927750	28512
Bw	A*	0.90679691	4914
BS	3	1.00000000	26714
KATR	K+	0.93222675	6301100
B	A_titi	0.75469305	5000156
A*	p	0.86711152	432054
BO	A*	0.84377968	21060
KATR	K	0.91906704	492840
Nscrm	W+	0.51517644	40128
K	2	0.81374726	205350
KATR	4	0.86563810	415140
r	x	0.99932341	1478
B	r	0.48114224	286870932
K+	p	0.77484398	2096262
3	K+	0.59674414	647140
PY	3	0.82885130	296666
4	Bw	1.00000000	1428
W	KA	0.84786901	105350
A_titi	H	0.95490696	26656
3	KA	0.95045113	93100
A*	A_titi	0.94696137	256662
A_titi	BO	0.67181562	85260
KATR	3	0.99908692	520220
B	s	0.70858874	10383240
KA	W+	0.61704545	52800
KA	r	0.54770201	27269100
H	2	0.93429783	94350
r	PY	0.96831015	32745090
Nscrm	KA	0.94516649	93100
3	x	1.00000000	76
x	r	0.46097598	1090764
A_titi	PY	0.93458449	4342380
W+	r	0.55475473	17997606
W	Bw	1.00000000	1806
K+	r	0.55618884	71445042
h	PY	0.93388244	6424950
KA	B	0.83897295	13807500
2	A	0.56536452	1609650
A*	s	0.87035724	532980
A	C	0.75590600	16170
KATR	H	0.76688196	100640
4	r	0.55581986	18542988
W+	A	0.93200385	708246
x	s	0.66433637	39480
KATR	1	0.67748267	577200
Bw	p	0.82472727	112014
h	1	0.87726790	226200
Bw	H	0.98424370	1904
Bw	B	0.64544528	1933050
W+	A*	0.71134421	23166
K	Nscrm	0.63361655	52022
Nscrm	B	0.71368659	10493700
A*	BO	0.86611324	23490
4	A	0.56374331	729708
BS	BO	0.64156080	16530
C	r	0.52237981	5999202
BO	h	0.60132344	626400
B	A*	0.79566529	369252
BS	H	0.88544892	5168
2	C	0.75175758	8250
Nscrm	A	0.88579080	815556
Nscrm	4	0.84531851	42636
x	KATR	0.84241192	273060
BO	1	0.97709402	46800
r	p	0.90404667	11825478
A	4	0.61360302	164934
r	2	0.94550781	4101450
K+	W+	0.45899838	138336
A_titi	KA	0.99527280	240100
B	BO	0.64080241	457620
x	W+	0.48816288	2112
BO	3	0.99952584	42180
C	K	0.76931477	14652
p	3	0.81591828	178562
A	Nscrm	0.69777242	206682
PY	4	0.64215053	236742
B	x	0.86121673	1052
h	4	0.88506976	162690
K+	A*	0.75311542	91962
C	W+	0.51661501	11616
BO	4	0.92162805	33660
s	PY	0.96006297	6247710
H	p	0.94304756	272034
A*	1	0.82314815	42120
p	H	0.92574687	34544
BS	K	0.88837522	25308
KA	3	0.99756757	70300
A*	h	0.63981659	563760
C	PY	0.95332061	487410
W	x	1.00000000	86
KATR	s	0.90188847	7303800
A_titi	Nscrm	0.82027462	137788
K	BS	0.83025130	12654
H	r	0.56112650	9271494
A*	2	0.90264932	149850
Nscrm	2	0.88028450	210900
K	A_titi	0.89460426	351722
K+	x	0.99236641	262
W+	A_titi	0.93149143	313698
Nscrm	KATR	0.92112491	5188140
BO	PY	0.98159783	1329300
s	x	0.96808511	282
p	PY	0.60752145	5627370
C	BO	0.73333333	9570
W+	2	0.92484302	183150
PY	BS	0.86501206	72162
1	A	0.92565232	858480
h	p	0.82959285	2320290
KA	x	1.00000000	100
W	PY	0.90336950	1905330
A*	3	0.98582793	37962
K	W	0.58271228	66822
4	2	0.57777424	188700
W	B	0.80083726	11874450
KA	1	0.54347436	78000
3	B	0.81627443	10493700
H	K+	0.79587924	289510
3	p	0.57133977	608076
K	s	0.78143843	730380
3	Bw	1.00000000	1596
A*	4	0.80893906	30294
x	H	0.85477941	544
r	A*	0.78102387	518778
3	A	0.54388049	815556
KATR	p	0.95052662	5920740
A_titi	4	0.89917785	109956
4	BS	0.93206054	11628
KATR	Bw	0.99987130	15540
BO	2	0.95699099	166500
4	H	0.86180796	9248
Bw	x	1.00000000	14
K	H	0.75506757	10064
A*	PY	0.91449050	1196370
K	r	0.56261032	20179134
1	KA	0.56294898	98000
Bw	KA	0.99947522	17150
2	BS	0.88803119	25650
2	K	0.48706707	99900
Bw	K+	0.82920057	119210
K	p	0.74267406	592074
3	A_titi	0.91692504	361228
B	PY	0.96537890	23307060
PY	Nscrm	0.69870157	296666
A_titi	KATR	0.94887862	13379940
s	1	0.93063284	219960
C	Nscrm	0.76264063	15466
2	W+	0.49448232	79200
W	K+	0.69812643	732290
K	A	0.76795316	794094
BS	x	0.97368421	38
3	PY	0.60968773	1683780
x	h	0.42420977	41760
Bw	4	0.92462440	7854
B	W+	0.56358920	555456
r	Bw	0.98914234	31038
KA	s	0.89238298	987000
K+	BO	0.70391331	113970
h	Nscrm	0.82244568	203870
Bw	A	0.97688273	150234
C	x	1.00000000	22
Nscrm	PY	0.89882051	1683780
W+	K	0.71546547	43956
Bw	KATR	0.95108872	955710
r	3	0.99438709	1039034
K+	PY	0.85756390	5804610
A	h	0.58110877	3069360
BS	C	0.76555024	2090
Nscrm	BO	0.70925590	33060
BS	2	0.95375059	105450
x	1	0.93076923	3120
r	H	0.86992558	201008
s	B	0.54059288	38937150
K+	Nscrm	0.62120900	184186
p	A	0.64077546	2725674
s	p	0.80050499	2256282
K	3	0.92772289	52022
1	W	0.68766611	72240
Nscrm	H	0.78773220	10336
PY	2	0.66263012	1171050
KA	p	0.95354581	800100
W+	Bw	1.00000000	1386
h	KATR	0.84413005	19796850
3	h	0.55508167	793440
r	A	0.96876722	15860418
1	W+	0.61044034	42240
2	BO	0.86674330	65250
s	KATR	0.90307287	19250730
PY	KATR	0.94897106	28807830
K	BO	0.77250699	32190
PY	Bw	0.99909727	8862
KATR	x	1.00000000	740
4	B	0.82797947	9389100
A	A*	0.60590732	103194
3	W	0.65629189	68628
3	2	0.44681840	210900
PY	W	0.73069495	381066
x	4	0.88012478	2244
s	4	0.87630371	158202
PY	r	0.54395622	115075602
PY	x	1.00000000	422
C	s	0.77428387	217140
H	C	0.57112299	1870
3	1	0.84423077	59280
H	BO	0.76369168	14790
p	W	0.75157175	229362
s	K+	0.69137609	2401230
KA	4	0.83450980	56100
A	K	0.55306327	195804
4	1	0.80126320	53040
A_titi	3	0.99859930	137788
1	B	0.86788774	11046000
K	x	1.00000000	74
2	H	0.87602941	20400
BS	W	0.82470712	34314
p	BS	0.76444721	43434
3	BO	0.89195402	33060
W+	Nscrm	0.77371869	46398
r	s	0.85122849	14587860
s	W	0.73184735	254646
A_titi	Bw	0.75631681	4116
x	p	0.72825272	32004
A	W+	0.54814085	155232
PY	A	0.55623054	4528482
B	h	0.50286755	10982880
W+	BO	0.75618251	28710
W+	H	0.70131462	8976
C	p	0.89536535	176022
W+	C	0.69035813	3630
3	s	0.80446729	750120
r	A_titi	0.92544400	7024934
p	x	1.00000000	254
A_titi	2	0.92435926	543900
A	A_titi	0.92178302	1397382
r	K+	0.86874687	12585170
W	p	0.88257572	688086
Nscrm	h	0.57675060	793440
H	A	0.95966332	364854
K+	h	0.59562348	2735280
2	W	0.69356958	135450
r	W	0.78945763	1334634
x	B	0.35831613	552300
h	W+	0.59864159	153120
r	4	0.89455086	829158
BS	Bw	0.92105263	798
1	A*	0.64141738	28080
B	Nscrm	0.79413188	739556
H	4	0.85073923	19074
C	4	0.84905202	12342
BS	K+	0.84016751	323570
2	A_titi	0.88546181	712950
3	r	0.55533591	20724516
2	Nscrm	0.62636321	105450
x	C	0.56818182	220
p	1	0.89372602	198120
Bw	PY	0.94897959	310170
Nscrm	BS	0.73899661	12996
3	W+	0.46468800	40128
C	3	0.99734902	15466
s	KA	0.95146910	345450
h	W	0.78000153	261870
K+	KATR	0.92691375	17885430
A_titi	W	0.83013538	176988
x	KA	0.96693878	4900
x	Nscrm	0.69310100	2812
3	BS	0.94052016	12996
A*	KATR	0.87342654	3686310
BO	H	0.84007353	8160
h	x	1.00000000	290
A_titi	s	0.72980946	1934520
H	W	0.56872516	30702
PY	A_titi	0.89044634	2005766
4	KA	0.90073229	83300
h	BS	0.70112926	49590
H	K	0.80065359	22644
W	3	0.97260908	60458
r	B	0.82441022	204074850
r	Nscrm	0.85650999	1039034
KATR	BS	0.84608819	126540
W+	BS	0.83501684	11286
Nscrm	Bw	1.00000000	1596
1	H	0.72426471	10880
BO	W+	0.58554293	31680
B	KATR	0.90689053	71814780
1	C	0.76045455	4400
1	BS	0.93333333	13680
KA	K	0.88253754	66600
Bw	1	0.98690476	10920
H	3	0.99673667	23902
BO	KA	0.98484354	73500
2	Bw	0.99936508	3150
2	p	0.53230679	1200150
W	1	0.79701849	67080
s	Bw	0.99628504	5922
1	2	0.92069369	222000
BO	KATR	0.93133402	4095900
KATR	PY	0.96724661	16394700
PY	BO	0.86430789	183570
C	H	0.66477273	2992
K	KATR	0.91447835	5051610
p	KATR	0.94709149	17339310
PY	H	0.91620783	57392
4	W	0.70026383	61404
p	B	0.71420214	35071050
p	W+	0.52926658	134112
p	Bw	0.95969254	5334
2	r	0.54211394	40903650
KA	H	0.64779412	13600
KA	BO	0.84813793	43500
BS	B	0.62693178	5246850
s	r	0.47508746	76898862
4	PY	0.65212274	1506540
W+	K+	0.70103916	561990
p	K+	0.61350419	2162810
s	W+	0.50038282	148896
A_titi	h	0.48863330	2046240
4	Nscrm	0.67389758	47804
KA	A*	0.68917379	35100
p	KA	0.97148964	311150
Nscrm	3	0.98933144	53428
s	A_titi	0.80938429	1340346
s	A*	0.74836839	98982
s	K	0.74447852	187812
x	K	0.71058559	2664
PY	K	0.51922420	281052
H	A_titi	0.95228401	161602
KATR	r	0.51181363	201791340
W+	1	0.86390831	51480
C	A*	0.67728568	7722
BS	KA	0.98704619	46550
W	4	0.79627327	48246
1	K	0.85795796	53280
Nscrm	x	1.00000000	76
K+	W	0.66397843	236586
p	A*	0.69600915	89154
C	W	0.66581093	19866
H	s	0.82043924	335580
W	K	0.66441441	57276
H	x	1.00000000	34
C	Bw	1.00000000	462
K	1	0.86159044	57720
Bw	s	0.84982631	138180
BO	Nscrm	0.81206733	42180
BS	h	0.57626033	396720
r	KA	0.94459142	1810550
p	Nscrm	0.67577088	178562
KA	C	0.69436364	5500
1	r	0.54277580	21815280
K	h	0.57999379	772560
K	A*	0.68583969	25974
B	W	0.77485378	949956
h	B	0.69941761	40041750
r	C	0.80483454	81290
W	s	0.82274216	848820
1	3	0.98442390	56240
KATR	BO	0.82564461	321900
BS	r	0.49421420	10362258
h	C	0.71467085	15950
B	BS	0.54183621	179892
C	A_titi	0.92857143	104566
A*	W	0.69191173	48762
A_titi	BS	0.46055615	33516
KA	A	0.96717454	1073100
W	H	0.56480848	11696
H	A*	0.67420814	11934
s	2	0.91166954	782550
1	Bw	1.00000000	1680
4	s	0.84157280	671160
K	KA	0.92949807	90650
Bw	3	1.00000000	9842
KATR	A*	0.74180719	259740
p	h	0.50348674	2651760
BS	Nscrm	0.86164558	26714
A*	H	0.77709695	7344
A*	Nscrm	0.85959644	37962
Nscrm	s	0.70579374	750120
x	A_titi	0.71412792	19012
3	A*	0.57178737	26676
2	4	0.50251931	84150
A_titi	1	0.96987834	152880
p	2	0.63419167	704850
W	Nscrm	0.74466572	60458
BS	PY	0.98058891	841890
4	A_titi	0.92291865	323204
B	KA	0.96594242	1288700
2	h	0.53730460	1566000
A_titi	W+	0.61620671	103488
Nscrm	A*	0.76990553	26676
2	KATR	0.92309226	10239750
KATR	Nscrm	0.92055477	520220
s	BO	0.68085106	122670
KATR	A_titi	0.95283178	3517220
Nscrm	A_titi	0.88236515	361228
s	C	0.58916828	15510
PY	C	0.77457992	23210
x	A	0.95116951	42924
BO	W	0.79990772	54180
A_titi	K	0.79253999	130536
x	K+	0.65930711	34060
KATR	W	0.74444494	668220
A*	K	0.82015349	35964
A*	K+	0.85762598	459810
Nscrm	p	0.78451213	608076
p	BO	0.82998461	110490
1	A_titi	0.96174258	380240
H	KATR	0.82798178	2321010
W	h	0.63668248	897840
2	A*	0.63173789	52650
H	W+	0.52378565	17952
W	C	0.60211416	4730
KA	2	0.94295135	277500
x	W	0.75387597	3612
KA	KATR	0.61533348	6826500
B	K+	0.77952517	8957780
A	1	0.84963370	229320
1	x	1.00000000	80
h	Bw	0.97372742	6090
1	s	0.91119681	789600
x	A*	0.79558405	1404
C	2	0.92792793	61050
BO	B	0.67731716	8284500
Nscrm	W	0.71728740	68628
K+	A	0.85458623	2811522
W+	x	1.00000000	66
K	W+	0.44822379	39072
W+	s	0.82618127	651420
A	PY	0.62808675	6513570
r	K	0.87729340	984348
4	3	0.74470756	47804
W	A	0.86960404	922866
C	1	0.88339161	17160
BO	K	0.83653654	39960
K	PY	0.78522510	1639470
BO	K+	0.77418281	510900
C	BS	0.80116959	3762
h	KA	0.90439127	355250
r	W+	0.65551446	780384
x	BS	0.45175439	684
s	BS	0.60053503	48222
p	r	0.50881275	69263514
K+	C	0.64871617	14410
K+	BS	0.75219856	44802
A	W	0.69078883	265482
B	A	0.96730724	11289012
H	PY	0.96301326	753270
4	KATR	0.89460558	4642020
2	B	0.77768454	20711250
A	K+	0.64826856	2503410
K	B	0.75566961	10217550
BO	s	0.79667004	592200
A	BS	0.91701476	50274
Bw	r	0.51119137	3817674
h	K	0.82026509	193140
K+	KA	0.95705562	320950
A*	Bw	0.99382716	1134
A*	A	0.87264485	579474
Bw	C	0.85584416	770
h	A_titi	0.85202957	1378370
A_titi	x	0.88775510	196
B	C	0.63060837	57860
BS	A*	0.86677163	13338
A	r	0.53882989	80171154
BS	s	0.78663680	375060
A*	B	0.84258327	7456050
4	K+	0.66346067	579020
4	h	0.56944585	709920
1	4	0.80813280	44880
A	KATR	0.93193801	20069910
A_titi	C	0.78487941	10780
W+	B	0.78946411	9112950
1	BO	0.87936782	34800
BS	1	0.98248988	29640
A_titi	K+	0.75890146	1668940
A*	C	0.74848485	2970
1	Nscrm	0.88136558	56240
