BS	p	0.99985199	304038
1	h	0.99990541	835200
1	K+	0.99695390	681200
p	A_titi	0.80780808	1207262
h	s	0.84389652	2862300
r	KATR	0.93811683	100895670
W+	h	0.80487925	689040
s	A	0.83974215	3026142
PY	p	0.80698384	3376422
K+	A_titi	0.90164428	1245286
3	C	0.96722488	4180
K	Bw	0.95431145	1554
H	1	0.87466063	26520
A*	r	0.99998119	14725314
KA	W	0.92320044	90300
A*	x	1.00000000	54
Bw	BO	0.79244663	6090
KATR	C	0.68928747	40700
W	BS	0.74275806	14706
1	KATR	0.99908903	5461200
BS	KATR	0.99708489	2594070
H	B	0.84879147	4694550
K+	H	0.47519084	35632
BS	4	0.82625012	21318
4	K	0.99993376	45288
K+	s	0.99102609	2585940
s	H	0.57832708	38352
B	1	0.83996051	820560
A_titi	r	0.99999993	53447436
H	Bw	0.94397759	714
KATR	B	0.80938710	102175500
A	KA	0.99532695	360150
W	A_titi	0.87534434	408758
KA	h	0.89409674	1044000
2	1	0.70364957	117000
KA	K+	0.83605637	851500
A_titi	A*	0.91185534	68796
A	3	0.53185086	206682
W	2	0.91750681	238650
p	4	0.73831179	142494
h	A*	0.83823558	101790
B	2	0.92211729	2919300
s	3	0.75114756	198246
KATR	A	0.88440336	7940940
PY	s	0.94505083	4165140
W	KATR	0.90670336	5870790
K	C	0.78722359	4070
Bw	2	0.95073359	38850
H	KA	0.82496999	41650
KATR	2	0.92265401	2053500
A	Bw	0.95918367	6174
h	H	0.60605984	39440
BS	A_titi	0.72656051	180614
A	p	0.99986014	2352294
B	3	0.78130933	739556
h	BO	0.58871185	126150
Nscrm	K+	0.62110672	647140
W+	PY	0.92243628	1462230
A	B	0.93808125	40594050
4	x	1.00000000	68
2	3	0.45025130	105450
Bw	h	1.00000000	146160
r	1	0.88763315	1152840
PY	W+	0.88241868	222816
x	2	0.92468468	11100
A	BO	0.78214872	127890
B	4	0.81231912	590172
K+	2	0.91366481	727050
2	x	1.00000000	150
BS	A	0.89962185	407778
KATR	W+	0.92762080	390720
BO	Bw	0.94841270	1260
BO	p	0.99966463	480060
x	3	0.76706970	2812
PY	KA	0.36725022	516950
p	C	0.59899785	13970
A	H	0.98261805	39984
r	BS	0.71149174	252738
K	K+	0.62551142	630110
BO	A_titi	0.82950768	285180
K+	4	0.78475596	146982
r	BO	0.57460221	642930
KATR	h	0.79191001	7725600
Bw	W	1.00000000	12642
W+	W	0.51651062	59598
4	W+	1.00000000	35904
B	p	0.99999608	8417052
BO	r	0.99953531	16361460
3	KATR	0.99524531	5188140
C	h	0.99999565	229680
PY	h	0.65528772	4405680
KA	BS	0.74777778	17100
A_titi	A	0.94246547	2103276
Bw	A_titi	0.61209462	66542
W+	KATR	0.91591858	4505490
3	4	0.65289896	42636
A*	W+	0.99992985	28512
Bw	A*	0.93915344	4914
BS	3	0.76341993	26714
