BS	p	0.87273959	304038
1	h	0.61563937	835200
1	K+	0.83807986	681200
p	A_titi	0.70309096	1207262
h	s	0.81242882	2862300
r	KATR	0.79783292	100895670
W+	h	0.60096656	689040
s	A	0.88894738	3026142
PY	p	0.65684295	3376422
K+	A_titi	0.76157284	1245286
3	C	0.80598086	4180
K	Bw	0.98712999	1554
H	1	0.81836350	26520
A*	r	0.84489682	14725314
KA	W	0.73660022	90300
A*	x	1.00000000	54
Bw	BO	0.78735632	6090
KATR	C	0.75528256	40700
W	BS	0.78892969	14706
1	KATR	0.73872189	5461200
BS	KATR	0.88540479	2594070
H	B	0.77792057	4694550
K+	H	0.61029412	35632
BS	4	0.92236608	21318
4	K	0.68649532	45288
K+	s	0.79088687	2585940
s	H	0.76976429	38352
B	1	0.92646973	820560
A_titi	r	0.78746183	53447436
H	Bw	0.98319328	714
KATR	B	0.80670844	102175500
A	KA	0.65495210	360150
W	A_titi	0.83569496	408758
KA	h	0.58633142	1044000
2	1	0.84106838	117000
KA	K+	0.79428538	851500
A_titi	A*	0.68964765	68796
A	3	0.89681249	206682
W	2	0.85322858	238650
p	4	0.68694822	142494
h	A*	0.86981039	101790
B	2	0.91302059	2919300
s	3	0.96347467	198246
KATR	A	0.91718033	7940940
PY	s	0.95645116	4165140
W	KATR	0.81468865	5870790
K	C	0.67690418	4070
Bw	2	0.92772201	38850
H	KA	0.65274910	41650
KATR	2	0.92544534	2053500
A	Bw	0.93100097	6174
h	H	0.79122718	39440
BS	A_titi	0.66798809	180614
A	p	0.68217451	2352294
B	3	0.98447852	739556
h	BO	0.76471661	126150
Nscrm	K+	0.61969744	647140
W+	PY	0.95635981	1462230
A	B	0.72926389	40594050
4	x	1.00000000	68
2	3	0.66509246	105450
Bw	h	0.65652709	146160
r	1	0.84611394	1152840
PY	W+	0.88053371	222816
x	2	0.91153153	11100
A	BO	0.80316678	127890
B	4	0.90528185	590172
K+	2	0.80373427	727050
2	x	1.00000000	150
BS	A	0.84452079	407778
KATR	W+	0.82240991	390720
BO	Bw	0.98174603	1260
BO	p	0.86612298	480060
x	3	0.98755334	2812
PY	KA	0.62206016	516950
p	C	0.72784538	13970
A	H	0.89850940	39984
r	BS	0.71255213	252738
K	K+	0.54897875	630110
BO	A_titi	0.70758468	285180
K+	4	0.90741723	146982
r	BO	0.71770955	642930
KATR	h	0.60627524	7725600
Bw	W	0.90855877	12642
W+	W	0.50864123	59598
4	W+	0.89533200	35904
B	p	0.82637959	8417052
BO	r	0.71392174	16361460
3	KATR	0.88261072	5188140
C	h	0.56345785	229680
PY	h	0.69798533	4405680
KA	BS	0.79649123	17100
A_titi	A	0.78248218	2103276
Bw	A_titi	0.61149349	66542
W+	KATR	0.83786114	4505490
3	4	0.71831316	42636
A*	W+	0.82996633	28512
Bw	A*	0.70879121	4914
BS	3	0.98918170	26714
KATR	K+	0.83746489	6301100
B	A_titi	0.59965249	5000156
A*	p	0.79880293	432054
BO	A*	0.81718898	21060
KATR	K	0.74813124	492840
Nscrm	W+	0.76530104	40128
K	2	0.78777697	205350
KATR	4	0.89632172	415140
r	x	1.00000000	1478
B	r	0.77954248	286870932
K+	p	0.77050388	2096262
3	K+	0.68538801	647140
PY	3	0.77310511	296666
4	Bw	0.99929972	1428
W	KA	0.63504509	105350
A_titi	H	0.87102341	26656
3	KA	0.61896885	93100
A*	A_titi	0.67779025	256662
A_titi	BO	0.65917194	85260
KATR	3	0.97080274	520220
B	s	0.82681042	10383240
KA	W+	0.81304924	52800
KA	r	0.81253052	27269100
H	2	0.86646529	94350
r	PY	0.97589156	32745090
Nscrm	KA	0.69606874	93100
3	x	1.00000000	76
x	r	0.87136447	1090764
A_titi	PY	0.94605953	4342380
W+	r	0.74397650	17997606
W	Bw	1.00000000	1806
K+	r	0.73757912	71445042
h	PY	0.95502549	6424950
KA	B	0.80244758	13807500
2	A	0.68542789	1609650
A*	s	0.89685917	532980
A	C	0.75163884	16170
KATR	H	0.70911169	100640
4	r	0.91917117	18542988
W+	A	0.88689664	708246
x	s	0.90476190	39480
KATR	1	0.68902807	577200
Bw	p	0.82086168	112014
h	1	0.83400531	226200
Bw	H	0.92121849	1904
Bw	B	0.48900598	1933050
W+	A*	0.86143486	23166
K	Nscrm	0.74983661	52022
Nscrm	B	0.75570485	10493700
A*	BO	0.71890166	23490
4	A	0.57071733	729708
BS	BO	0.66225045	16530
C	r	0.63067921	5999202
BO	h	0.58796935	626400
B	A*	0.69519732	369252
BS	H	0.83475232	5168
2	C	0.77963636	8250
Nscrm	A	0.83349641	815556
Nscrm	4	0.93268599	42636
x	KATR	0.93912693	273060
BO	1	0.91760684	46800
r	p	0.88413255	11825478
A	4	0.63113730	164934
r	2	0.90806373	4101450
K+	W+	0.60567748	138336
A_titi	KA	0.76572262	240100
B	BO	0.67220183	457620
x	W+	0.92755682	2112
BO	3	0.98231389	42180
C	K	0.67588043	14652
p	3	0.80808907	178562
A	Nscrm	0.85278834	206682
PY	4	0.56073700	236742
B	x	0.75950570	1052
h	4	0.88941545	162690
K+	A*	0.87703617	91962
C	W+	0.75817837	11616
BO	4	0.94310755	33660
s	PY	0.98162335	6247710
H	p	0.86496173	272034
A*	1	0.86963438	42120
p	H	0.87937124	34544
BS	K	0.80871661	25308
KA	3	0.93064011	70300
A*	h	0.62759508	563760
C	PY	0.97592786	487410
W	x	1.00000000	86
KATR	s	0.88664887	7303800
A_titi	Nscrm	0.87690510	137788
K	BS	0.79943101	12654
H	r	0.67070345	9271494
A*	2	0.88831498	149850
Nscrm	2	0.80121385	210900
K	A_titi	0.80358351	351722
K+	x	1.00000000	262
W+	A_titi	0.82048977	313698
Nscrm	KATR	0.85787565	5188140
BO	PY	0.97463176	1329300
s	x	1.00000000	282
p	PY	0.81419047	5627370
C	BO	0.54827586	9570
W+	2	0.85358449	183150
PY	BS	0.81741083	72162
1	A	0.86203406	858480
h	p	0.81100638	2320290
KA	x	1.00000000	100
W	PY	0.95224974	1905330
A*	3	0.98074390	37962
K	W	0.54830744	66822
4	2	0.57470588	188700
W	B	0.78650556	11874450
KA	1	0.63858974	78000
3	B	0.83910442	10493700
H	K+	0.56814618	289510
3	p	0.67362468	608076
K	s	0.83701772	730380
3	Bw	1.00000000	1596
A*	4	0.86815871	30294
x	H	0.92463235	544
r	A*	0.91537999	518778
3	A	0.79906837	815556
KATR	p	0.93344768	5920740
A_titi	4	0.90436174	109956
4	BS	0.82722738	11628
KATR	Bw	0.99897040	15540
BO	2	0.90321922	166500
4	H	0.89565311	9248
Bw	x	0.71428571	14
K	H	0.60979730	10064
A*	PY	0.93934318	1196370
K	r	0.78274761	20179134
1	KA	0.47141837	98000
Bw	KA	0.73725948	17150
2	BS	0.85325536	25650
2	K	0.59201201	99900
Bw	K+	0.84924922	119210
K	p	0.78308286	592074
3	A_titi	0.86566933	361228
B	PY	0.94535930	23307060
PY	Nscrm	0.91757060	296666
A_titi	KATR	0.93390964	13379940
s	1	0.89242590	219960
C	Nscrm	0.74880383	15466
2	W+	0.82213384	79200
W	K+	0.58707206	732290
K	A	0.81503953	794094
BS	x	0.84210526	38
3	PY	0.78331077	1683780
x	h	0.67080939	41760
Bw	4	0.87356761	7854
B	W+	0.87093307	555456
r	Bw	0.99355629	31038
KA	s	0.88824417	987000
K+	BO	0.66101606	113970
h	Nscrm	0.87246284	203870
Bw	A	0.79508633	150234
C	x	0.95454545	22
