BS	p	0.99975332	304038
1	h	0.93627754	835200
1	K+	0.98845420	681200
p	A_titi	0.92404051	1207262
h	s	0.95293959	2862300
r	KATR	0.88813030	100895670
W+	h	0.98835191	689040
s	A	0.99936454	3026142
PY	p	0.63913427	3376422
K+	A_titi	0.99398773	1245286
3	C	1.00000000	4180
K	Bw	1.00000000	1554
H	1	0.99988688	26520
A*	r	0.89011195	14725314
KA	W	1.00000000	90300
A*	x	1.00000000	54
Bw	BO	1.00000000	6090
KATR	C	0.99781327	40700
W	BS	1.00000000	14706
1	KATR	0.94102981	5461200
BS	KATR	0.94026337	2594070
H	B	0.96951827	4694550
K+	H	0.99980355	35632
BS	4	1.00000000	21318
4	K	0.95696432	45288
K+	s	0.98402554	2585940
s	H	0.99749687	38352
B	1	0.98383543	820560
A_titi	r	0.98187668	53447436
H	Bw	1.00000000	714
KATR	B	0.95679637	102175500
A	KA	0.97865612	360150
W	A_titi	0.99721106	408758
KA	h	0.91993678	1044000
2	1	0.96079487	117000
KA	K+	0.99060364	851500
A_titi	A*	0.99674400	68796
A	3	0.96848782	206682
W	2	0.98918919	238650
p	4	0.69708198	142494
h	A*	0.99960703	101790
B	2	0.99034460	2919300
s	3	1.00000000	198246
KATR	A	0.99763869	7940940
PY	s	0.96908075	4165140
W	KATR	0.95265543	5870790
K	C	1.00000000	4070
Bw	2	0.99997426	38850
H	KA	0.99013205	41650
KATR	2	0.98535866	2053500
A	Bw	1.00000000	6174
h	H	1.00000000	39440
BS	A_titi	0.99709325	180614
A	p	0.78112855	2352294
B	3	1.00000000	739556
h	BO	0.99919937	126150
Nscrm	K+	0.95697067	647140
W+	PY	0.99381287	1462230
A	B	0.96715260	40594050
4	x	1.00000000	68
2	3	0.71370318	105450
Bw	h	0.93399699	146160
r	1	0.97389490	1152840
PY	W+	0.99617622	222816
x	2	0.98729730	11100
A	BO	0.98600360	127890
B	4	1.00000000	590172
K+	2	0.98628430	727050
2	x	1.00000000	150
BS	A	0.99999019	407778
KATR	W+	0.99749181	390720
BO	Bw	1.00000000	1260
BO	p	0.99268008	480060
x	3	1.00000000	2812
PY	KA	0.97819518	516950
p	C	0.99935576	13970
A	H	1.00000000	39984
r	BS	1.00000000	252738
K	K+	0.50840171	630110
BO	A_titi	0.99153166	285180
K+	4	0.99978229	146982
r	BO	0.98081595	642930
KATR	h	0.37671870	7725600
Bw	W	1.00000000	12642
W+	W	0.56592503	59598
4	W+	0.99752117	35904
B	p	0.95602356	8417052
BO	r	0.90920847	16361460
3	KATR	0.95482022	5188140
C	h	0.99160136	229680
PY	h	0.96028717	4405680
KA	BS	1.00000000	17100
A_titi	A	0.99856414	2103276
Bw	A_titi	0.99655856	66542
W+	KATR	0.95979549	4505490
3	4	0.49366732	42636
A*	W+	0.99908810	28512
Bw	A*	1.00000000	4914
BS	3	1.00000000	26714
KATR	K+	0.98573995	6301100
B	A_titi	0.92432876	5000156
A*	p	0.86958575	432054
BO	A*	0.98490028	21060
KATR	K	0.99786543	492840
Nscrm	W+	0.99720893	40128
K	2	0.98443146	205350
KATR	4	0.99819579	415140
r	x	1.00000000	1478
B	r	0.99017774	286870932
K+	p	0.97894204	2096262
3	K+	0.94796644	647140
PY	3	0.94255830	296666
4	Bw	1.00000000	1428
W	KA	0.97931656	105350
A_titi	H	1.00000000	26656
3	KA	0.97857143	93100
A*	A_titi	0.98179707	256662
A_titi	BO	1.00000000	85260
KATR	3	0.99965399	520220
B	s	0.89100252	10383240
KA	W+	0.99996212	52800
KA	r	0.95822935	27269100
H	2	0.99730790	94350
r	PY	0.97611694	32745090
Nscrm	KA	0.96736842	93100
3	x	1.00000000	76
x	r	0.99106223	1090764
A_titi	PY	0.99961887	4342380
W+	r	0.90527912	17997606
W	Bw	1.00000000	1806
K+	r	0.90053262	71445042
h	PY	0.99635484	6424950
KA	B	0.92305327	13807500
2	A	0.61737707	1609650
A*	s	0.95376187	532980
A	C	1.00000000	16170
KATR	H	0.99384936	100640
4	r	0.87323062	18542988
W+	A	0.99689797	708246
x	s	0.89473151	39480
KATR	1	0.97529626	577200
Bw	p	0.99973218	112014
h	1	0.97439876	226200
Bw	H	1.00000000	1904
Bw	B	0.81170999	1933050
W+	A*	0.99831650	23166
K	Nscrm	0.99915420	52022
Nscrm	B	0.97290422	10493700
A*	BO	0.99250745	23490
4	A	0.66214157	729708
BS	BO	1.00000000	16530
C	r	0.99221580	5999202
BO	h	0.98938059	626400
B	A*	0.99932566	369252
BS	H	1.00000000	5168
2	C	1.00000000	8250
Nscrm	A	0.97091555	815556
Nscrm	4	1.00000000	42636
x	KATR	0.96108181	273060
BO	1	0.97745726	46800
r	p	0.94479056	11825478
A	4	0.87140917	164934
r	2	0.97224689	4101450
K+	W+	0.48421958	138336
A_titi	KA	0.95397751	240100
B	BO	0.99969844	457620
x	W+	1.00000000	2112
BO	3	1.00000000	42180
C	K	1.00000000	14652
p	3	0.94741322	178562
A	Nscrm	0.99469717	206682
PY	4	0.83930608	236742
B	x	1.00000000	1052
h	4	0.99613990	162690
K+	A*	0.99631369	91962
C	W+	1.00000000	11616
BO	4	1.00000000	33660
s	PY	0.99983386	6247710
H	p	0.99708125	272034
A*	1	0.95705128	42120
p	H	1.00000000	34544
BS	K	1.00000000	25308
KA	3	0.99843528	70300
A*	h	0.97511175	563760
C	PY	1.00000000	487410
W	x	1.00000000	86
KATR	s	0.95892193	7303800
A_titi	Nscrm	1.00000000	137788
K	BS	1.00000000	12654
H	r	0.94734225	9271494
A*	2	0.94487154	149850
Nscrm	2	0.98632527	210900
K	A_titi	0.99348349	351722
K+	x	1.00000000	262
W+	A_titi	0.99475610	313698
Nscrm	KATR	0.92815229	5188140
BO	PY	0.99390657	1329300
s	x	1.00000000	282
p	PY	0.69908661	5627370
C	BO	1.00000000	9570
W+	2	0.98669397	183150
PY	BS	1.00000000	72162
1	A	0.99009179	858480
h	p	0.99111275	2320290
KA	x	1.00000000	100
W	PY	0.99703201	1905330
A*	3	0.99978926	37962
K	W	0.57771393	66822
4	2	0.54904081	188700
W	B	0.97633347	11874450
KA	1	0.92298718	78000
3	B	0.96794686	10493700
H	K+	0.93567752	289510
3	p	0.70929785	608076
K	s	0.98501191	730380
3	Bw	1.00000000	1596
A*	4	0.99811844	30294
x	H	1.00000000	544
r	A*	0.99506918	518778
3	A	0.64975428	815556
KATR	p	0.99567301	5920740
A_titi	4	1.00000000	109956
4	BS	1.00000000	11628
KATR	Bw	0.99980695	15540
BO	2	0.98781982	166500
4	H	1.00000000	9248
Bw	x	1.00000000	14
K	H	0.99821145	10064
A*	PY	0.98046507	1196370
K	r	0.90275514	20179134
1	KA	0.66462245	98000
Bw	KA	0.98408163	17150
2	BS	1.00000000	25650
2	K	0.95655656	99900
Bw	K+	0.98765204	119210
K	p	0.97440523	592074
3	A_titi	0.98564895	361228
B	PY	0.99996048	23307060
PY	Nscrm	0.99658539	296666
A_titi	KATR	0.97193657	13379940
s	1	0.87680033	219960
C	Nscrm	0.99980603	15466
2	W+	0.99690657	79200
W	K+	0.79250843	732290
K	A	0.99077439	794094
BS	x	1.00000000	38
3	PY	0.82682061	1683780
x	h	0.97526341	41760
Bw	4	1.00000000	7854
B	W+	0.99986678	555456
r	Bw	1.00000000	31038
KA	s	0.79600203	987000
K+	BO	0.73219268	113970
h	Nscrm	0.99720410	203870
Bw	A	1.00000000	150234
C	x	1.00000000	22
Nscrm	PY	0.99121916	1683780
W+	K	0.51653927	43956
Bw	KATR	0.93918134	955710
r	3	0.99640339	1039034
K+	PY	0.99215710	5804610
A	h	0.97916699	3069360
BS	C	1.00000000	2090
Nscrm	BO	0.95668482	33060
BS	2	0.99986724	105450
x	1	0.97660256	3120
r	H	0.99997015	201008
s	B	0.80992006	38937150
K+	Nscrm	0.99659040	184186
p	A	0.80765161	2725674
s	p	0.91938153	2256282
K	3	0.99919265	52022
1	W	1.00000000	72240
Nscrm	H	1.00000000	10336
PY	2	0.83427522	1171050
KA	p	0.97851519	800100
W+	Bw	1.00000000	1386
h	KATR	0.69078035	19796850
3	h	0.97986741	793440
r	A	0.97659047	15860418
1	W+	0.99990530	42240
2	BO	0.99785441	65250
s	KATR	0.94922426	19250730
PY	KATR	0.94239337	28807830
K	BO	0.71950916	32190
PY	Bw	1.00000000	8862
KATR	x	1.00000000	740
4	B	0.96572589	9389100
A	A*	0.86583522	103194
3	W	1.00000000	68628
3	2	0.39311522	210900
PY	W	0.99996851	381066
x	4	1.00000000	2244
s	4	1.00000000	158202
PY	r	0.83356901	115075602
PY	x	1.00000000	422
C	s	0.88929723	217140
H	C	1.00000000	1870
3	1	0.96681849	59280
H	BO	0.93373901	14790
p	W	1.00000000	229362
s	K+	0.98934088	2401230
KA	4	0.99005348	56100
A	K	0.96428571	195804
4	1	0.95714555	53040
A_titi	3	1.00000000	137788
1	B	0.87754282	11046000
K	x	1.00000000	74
2	H	1.00000000	20400
BS	W	1.00000000	34314
p	BS	1.00000000	43434
3	BO	0.99803388	33060
W+	Nscrm	0.99915945	46398
r	s	0.97442010	14587860
s	W	0.99769484	254646
A_titi	Bw	1.00000000	4116
x	p	0.99121985	32004
A	W+	0.99596733	155232
PY	A	0.73817275	4528482
B	h	0.98295866	10982880
W+	BO	0.74757924	28710
W+	H	0.98841355	8976
C	p	0.98862074	176022
W+	C	1.00000000	3630
3	s	0.96729857	750120
r	A_titi	0.99809721	7024934
p	x	1.00000000	254
A_titi	2	0.96074646	543900
A	A_titi	0.98408739	1397382
r	K+	0.95127885	12585170
W	p	0.99044451	688086
Nscrm	h	0.96750227	793440
H	A	0.99440872	364854
K+	h	0.98713477	2735280
2	W	1.00000000	135450
r	W	0.99018982	1334634
x	B	0.50816585	552300
h	W+	0.99990204	153120
r	4	0.99001638	829158
BS	Bw	0.84711779	798
1	A*	0.99928775	28080
B	Nscrm	0.99991346	739556
H	4	1.00000000	19074
C	4	1.00000000	12342
BS	K+	0.98594431	323570
2	A_titi	0.98060593	712950
3	r	0.87022442	20724516
2	Nscrm	0.99854908	105450
x	C	1.00000000	220
p	1	0.95274076	198120
Bw	PY	1.00000000	310170
Nscrm	BS	1.00000000	12996
3	W+	0.99641148	40128
C	3	1.00000000	15466
s	KA	0.75661601	345450
h	W	1.00000000	261870
K+	KATR	0.96013023	17885430
A_titi	W	1.00000000	176988
x	KA	0.93795918	4900
x	Nscrm	1.00000000	2812
3	BS	1.00000000	12996
A*	KATR	0.95618762	3686310
BO	H	0.99460784	8160
h	x	1.00000000	290
A_titi	s	0.86815903	1934520
H	W	0.65927301	30702
PY	A_titi	0.98115034	2005766
4	KA	0.97663866	83300
h	BS	0.99491833	49590
H	K	0.94916976	22644
W	3	1.00000000	60458
r	B	0.97158854	204074850
r	Nscrm	0.97496328	1039034
KATR	BS	0.99859333	126540
W+	BS	1.00000000	11286
Nscrm	Bw	1.00000000	1596
1	H	1.00000000	10880
BO	W+	0.84946338	31680
B	KATR	0.97309733	71814780
1	C	1.00000000	4400
1	BS	1.00000000	13680
KA	K	0.99941441	66600
Bw	1	1.00000000	10920
H	3	1.00000000	23902
BO	KA	0.98081633	73500
2	Bw	1.00000000	3150
2	p	0.71294838	1200150
W	1	0.98014311	67080
s	Bw	1.00000000	5922
1	2	0.95359009	222000
BO	KATR	0.96561220	4095900
KATR	PY	0.99762637	16394700
PY	BO	0.99618129	183570
C	H	1.00000000	2992
K	KATR	0.96086139	5051610
p	KATR	0.95044457	17339310
PY	H	1.00000000	57392
4	W	1.00000000	61404
p	B	0.93788575	35071050
p	W+	0.99838195	134112
p	Bw	1.00000000	5334
2	r	0.88312187	40903650
KA	H	1.00000000	13600
KA	BO	1.00000000	43500
BS	B	0.82575374	5246850
s	r	0.98075753	76898862
4	PY	0.74945571	1506540
W+	K+	0.52022812	561990
p	K+	0.96133364	2162810
s	W+	0.99937540	148896
A_titi	h	0.97118569	2046240
4	Nscrm	0.99859844	47804
KA	A*	0.99977208	35100
p	KA	0.97441427	311150
Nscrm	3	0.99998128	53428
s	A_titi	0.93477803	1340346
s	A*	0.99914126	98982
s	K	0.99959002	187812
x	K	1.00000000	2664
PY	K	0.95601526	281052
H	A_titi	0.99851487	161602
KATR	r	0.82922302	201791340
W+	1	0.97595183	51480
C	A*	1.00000000	7722
BS	KA	0.98436090	46550
W	4	1.00000000	48246
1	K	0.99870495	53280
Nscrm	x	1.00000000	76
K+	W	0.60271952	236586
p	A*	0.98188528	89154
C	W	1.00000000	19866
H	s	0.97734668	335580
W	K	0.77407640	57276
H	x	1.00000000	34
C	Bw	1.00000000	462
K	1	0.97503465	57720
Bw	s	0.98174121	138180
BO	Nscrm	0.99487909	42180
BS	h	0.93414247	396720
r	KA	0.96187402	1810550
p	Nscrm	0.99891914	178562
KA	C	0.99381818	5500
1	r	0.97239884	21815280
K	h	0.98838537	772560
K	A*	0.99622700	25974
B	W	0.99950208	949956
h	B	0.95778883	40041750
r	C	1.00000000	81290
W	s	0.98014538	848820
1	3	0.98966927	56240
KATR	BO	0.99756135	321900
BS	r	0.95102351	10362258
h	C	1.00000000	15950
B	BS	0.99213417	179892
C	A_titi	0.98449783	104566
A*	W	1.00000000	48762
A_titi	BS	1.00000000	33516
KA	A	0.99527723	1073100
W	H	0.89235636	11696
