call_2	call_1	by	score	n
A	A*	0	1.0	103194
A	BO	0	1.0	127890
A	KA	0	1.0	360150
A	KATR	0	1.0	19961424
A	Nscrm	0	1.0	206682
A	PY	0	0.999832657053	6513570
A*	A	0	0.998883470182	579474
A*	BO	0	1.0	23490
A*	KA	0	1.0	66150
A*	KATR	0	1.0	3666384
A*	Nscrm	0	1.0	37962
A*	PY	0	1.0	1196370
BO	A	0	1.0	643860
BO	A*	0	1.0	21060
BO	KA	0	1.0	73500
BO	KATR	0	1.0	4073760
BO	Nscrm	0	1.0	42180
BO	PY	0	1.0	1329300
KA	A	0	1.0	1073100
KA	A*	0	1.0	35100
KA	BO	0	1.0	43500
KA	KATR	0	0.999802050194	6789600
KA	Nscrm	0	1.0	70300
KA	PY	0	1.0	2215500
KATR	A	0	1.0	7919478
KATR	A*	0	1.0	259038
KATR	BO	0	1.0	321030
KATR	KA	0	0.999939162657	904050
KATR	Nscrm	0	1.0	518814
KATR	PY	0	1.0	16350390
Nscrm	A	0	0.999966893751	815556
Nscrm	A*	0	1.0	26676
Nscrm	BO	0	1.0	33060
Nscrm	KA	0	1.0	93100
Nscrm	KATR	0	1.0	5160096
Nscrm	PY	0	1.0	1683780
PY	A	0	0.989751532633	4528482
PY	A*	0	1.0	148122
PY	BO	0	1.0	183570
PY	KA	0	1.0	516950
PY	KATR	0	1.0	28652112
PY	Nscrm	0	1.0	296666
XKATR	A	0	1.0	21462
XKATR	A*	0	1.0	702
XKATR	BO	0	1.0	870
XKATR	KA	0	1.0	2450
XKATR	KATR	0	0.999852715918	135792
XKATR	Nscrm	0	1.0	1406
XKATR	PY	0	1.0	44310
n	A	0	1.0	21462
n	A*	0	1.0	702
n	BO	0	1.0	870
n	KA	0	1.0	2450
n	KATR	0	1.0	135792
n	Nscrm	0	1.0	1406
n	PY	0	1.0	44310
