call_2	call_1	by	score	n
A	A*	0	0.832519332519	103194
A	BO	0	0.90064899523	127890
A	KA	0	0.663243093156	360150
A	KATR	0	0.933317332471	19961424
A	Nscrm	0	0.924584627592	206682
A	PY	0	0.730074291057	6513570
A*	A	0	0.678736233205	579474
A*	BO	0	0.739974457216	23490
A*	KA	0	0.609901738473	66150
A*	KATR	0	0.883023709464	3666384
A*	Nscrm	0	0.925451767557	37962
A*	PY	0	0.91364293655	1196370
BO	A	0	0.748198366104	643860
BO	A*	0	0.724026590693	21060
BO	KA	0	0.625836734694	73500
BO	KATR	0	0.81923186442	4073760
BO	Nscrm	0	0.748956851588	42180
BO	PY	0	0.929328217859	1329300
KA	A	0	0.832887894884	1073100
KA	A*	0	0.930911680912	35100
KA	BO	0	0.904390804598	43500
KA	KATR	0	0.780004713091	6789600
KA	Nscrm	0	0.914836415363	70300
KA	PY	0	0.893855111713	2215500
KATR	A	0	0.914460523787	7919478
KATR	A*	0	0.962013295347	259038
KATR	BO	0	0.921558732829	321030
KATR	KA	0	0.536238039931	904050
KATR	Nscrm	0	0.940813085229	518814
KATR	PY	0	0.944703337352	16350390
Nscrm	A	0	0.769288681587	815556
Nscrm	A*	0	0.868758434548	26676
Nscrm	BO	0	0.680217785844	33060
Nscrm	KA	0	0.649946294307	93100
Nscrm	KATR	0	0.802383133957	5160096
Nscrm	PY	0	0.90497392771	1683780
PY	A	0	0.634335744296	4528482
PY	A*	0	0.94025195447	148122
PY	BO	0	0.97004957237	183570
PY	KA	0	0.666221104556	516950
PY	KATR	0	0.941569333528	28652112
PY	Nscrm	0	0.989385369405	296666
XKATR	A	0	0.905088062622	21462
XKATR	A*	0	0.997150997151	702
XKATR	BO	0	0.995402298851	870
XKATR	KA	0	0.578775510204	2450
XKATR	KATR	0	0.683538058207	135792
XKATR	Nscrm	0	1.0	1406
XKATR	PY	0	0.950485217784	44310
n	A	0	0.838039325319	21462
n	A*	0	0.894586894587	702
n	BO	0	0.741379310345	870
n	KA	0	0.620816326531	2450
n	KATR	0	0.739417638742	135792
n	Nscrm	0	0.722617354196	1406
n	PY	0	0.930783118935	44310
