call_2	call_1	by	score	n
A	A*	0	0.76455026455	103194
A	BO	0	0.737673000235	127890
A	KA	0	0.745964181591	360150
A	KATR	0	0.959627980449	19961424
A	Nscrm	0	0.605800214823	206682
A	PY	0	0.729704908368	6513570
A*	A	0	0.799878855652	579474
A*	BO	0	0.587186036611	23490
A*	KA	0	0.722010582011	66150
A*	KATR	0	0.933559332574	3666384
A*	Nscrm	0	0.702939781887	37962
A*	PY	0	0.947896553742	1196370
BO	A	0	0.91826328705	643860
BO	A*	0	0.850047483381	21060
BO	KA	0	0.876217687075	73500
BO	KATR	0	0.959936029614	4073760
BO	Nscrm	0	0.753176861072	42180
BO	PY	0	0.980524336117	1329300
KA	A	0	0.906218432579	1073100
KA	A*	0	0.901937321937	35100
KA	BO	0	0.839908045977	43500
KA	KATR	0	0.777463768116	6789600
KA	Nscrm	0	0.803911806543	70300
KA	PY	0	0.903953509366	2215500
KATR	A	0	0.979571507112	7919478
KATR	A*	0	0.984380670018	259038
KATR	BO	0	0.930380338286	321030
KATR	KA	0	0.751207344727	904050
KATR	Nscrm	0	0.948573091705	518814
KATR	PY	0	0.978487118656	16350390
Nscrm	A	0	0.855727871538	815556
Nscrm	A*	0	0.897773279352	26676
Nscrm	BO	0	0.751119177253	33060
Nscrm	KA	0	0.849183673469	93100
Nscrm	KATR	0	0.962235586315	5160096
Nscrm	PY	0	0.932419318438	1683780
PY	A	0	0.774055191121	4528482
PY	A*	0	0.952309582641	148122
PY	BO	0	0.930413466253	183570
PY	KA	0	0.828871264145	516950
PY	KATR	0	0.969661608191	28652112
PY	Nscrm	0	0.811828790626	296666
XKATR	A	0	0.986208181903	21462
XKATR	A*	0	1.0	702
XKATR	BO	0	0.972413793103	870
XKATR	KA	0	0.867346938776	2450
XKATR	KATR	0	0.633770767055	135792
XKATR	Nscrm	0	0.99146514936	1406
XKATR	PY	0	0.993974272173	44310
n	A	0	0.972509551766	21462
n	A*	0	0.992877492877	702
n	BO	0	0.866666666667	870
n	KA	0	0.92	2450
n	KATR	0	0.972730352304	135792
n	Nscrm	0	0.879800853485	1406
n	PY	0	0.987993680885	44310
