call_2	call_1	by	score	n
A	A*	0	0.832480570576	103194
A	BO	0	0.90065681445	127890
A	KA	0	0.663248646397	360150
A	KATR	0	0.933317382567	19961424
A	Nscrm	0	0.924584627592	206682
A	PY	0	0.730073676954	6513570
A*	A	0	0.678743136016	579474
A*	BO	0	0.739974457216	23490
A*	KA	0	0.609886621315	66150
A*	KATR	0	0.883022891219	3666384
A*	Nscrm	0	0.925451767557	37962
A*	PY	0	0.913646279997	1196370
BO	A	0	0.748196812972	643860
BO	A*	0	0.724026590693	21060
BO	KA	0	0.625891156463	73500
BO	KATR	0	0.819234810102	4073760
BO	Nscrm	0	0.74893314367	42180
BO	PY	0	0.929326713308	1329300
KA	A	0	0.832876712329	1073100
KA	A*	0	0.93094017094	35100
KA	BO	0	0.904413793103	43500
KA	KATR	0	0.780003534818	6789600
KA	Nscrm	0	0.914836415363	70300
KA	PY	0	0.893852403521	2215500
KATR	A	0	0.914458882265	7919478
KATR	A*	0	0.962013295347	259038
KATR	BO	0	0.921561847802	321030
KATR	KA	0	0.536235827664	904050
KATR	Nscrm	0	0.940813085229	518814
KATR	PY	0	0.94470321503	16350390
Nscrm	A	0	0.769285003114	815556
Nscrm	A*	0	0.868758434548	26676
Nscrm	BO	0	0.680248033878	33060
Nscrm	KA	0	0.64992481203	93100
Nscrm	KATR	0	0.802383521547	5160096
Nscrm	PY	0	0.904978085023	1683780
PY	A	0	0.634335302647	4528482
PY	A*	0	0.940245203278	148122
PY	BO	0	0.97004957237	183570
PY	KA	0	0.666228842248	516950
PY	KATR	0	0.941569752345	28652112
PY	Nscrm	0	0.989385369405	296666
XKATR	A	0	0.905088062622	21462
XKATR	A*	0	0.997150997151	702
XKATR	BO	0	0.995402298851	870
XKATR	KA	0	0.578775510204	2450
XKATR	KATR	0	0.683545422411	135792
XKATR	Nscrm	0	1.0	1406
XKATR	PY	0	0.950485217784	44310
n	A	0	0.838039325319	21462
n	A*	0	0.894586894587	702
n	BO	0	0.741379310345	870
n	KA	0	0.620816326531	2450
n	KATR	0	0.739373453517	135792
n	Nscrm	0	0.722617354196	1406
n	PY	0	0.930760550666	44310
