call_2	call_1	by	score	n
H	K	0	0.866319444444	20160
H	K+	0	0.848643875783	240096
H	K+?	0	0.997023809524	672
H	W	0	0.835293263647	27552
H	W+	0	0.880622632576	16896
H?	H	0	0.991666666667	240
H?	K	0	0.835714285714	1260
H?	K+	0	0.738371318139	15006
H?	K+?	0	1.0	42
H?	W	0	0.908246225319	1722
H?	W+	0	0.923295454545	1056
K	H	0	0.992939814815	8640
K	K+	0	0.727475676396	540216
K	K+?	0	0.984788359788	1512
K	W	0	0.882597754549	61992
K	W+	0	0.945444023569	38016
K+	H	0	0.993834688347	29520
K+	K	0	0.796715705252	154980
K+	K+?	0	0.966511807975	5166
K+	W	0	0.946488768024	211806
K+	W+	0	0.946707932988	129888
K+/W+	H	0	1.0	240
K+/W+	K	0	0.770634920635	1260
K+/W+	K+	0	0.783153405305	15006
K+/W+	K+?	0	1.0	42
K+/W+	W	0	0.887921022067	1722
K+/W+	W+	0	0.870265151515	1056
K+?	H	0	0.999404761905	1680
K+?	K	0	0.789115646259	8820
K+?	K+	0	0.710239713638	105042
K+?	W	0	0.927078148333	12054
K+?	W+	0	0.94237012987	7392
K?	H	0	0.979166666667	240
K?	K	0	0.815079365079	1260
K?	K+	0	0.74850059976	15006
K?	K+?	0	0.97619047619	42
K?	W	0	0.914053426249	1722
K?	W+	0	0.953598484848	1056
W	H	0	0.959226190476	10080
W	K	0	0.804346182918	52920
W	K+	0	0.867992485545	630252
W	K+?	0	0.988662131519	1764
W	W+	0	0.876893939394	44352
W+	H	0	0.952651515152	7920
W+	K	0	0.880158730159	41580
W+	K+	0	0.863864555188	495198
W+	K+?	0	0.992784992785	1386
W+	W	0	0.831380002112	56826
W?	H	0	0.983333333333	240
W?	K	0	0.760317460317	1260
W?	K+	0	0.755631080901	15006
W?	K+?	0	0.97619047619	42
W?	W	0	0.897793263647	1722
W?	W+	0	0.948863636364	1056
