call_2	call_1	by	score	n
H	K	0	0.533978174603	20160
H	K+	0	0.561683659869	240096
H	K+?	0	0.498511904762	672
H	W	0	0.470419570267	27552
H	W+	0	0.534268465909	16896
H?	H	0	0.575	240
H?	K	0	0.451587301587	1260
H?	K+	0	0.537318405971	15006
H?	K+?	0	0.5	42
H?	W	0	0.515098722416	1722
H?	W+	0	0.689393939394	1056
K	H	0	0.642824074074	8640
K	K+	0	0.535058198943	540216
K	K+?	0	0.500661375661	1512
K	W	0	0.559378629501	61992
K	W+	0	0.635942760943	38016
K+	H	0	0.669308943089	29520
K+	K	0	0.532036391792	154980
K+	K+?	0	0.508710801394	5166
K+	W	0	0.60481761612	211806
K+	W+	0	0.62044992609	129888
K+/W+	H	0	0.7875	240
K+/W+	K	0	0.444444444444	1260
K+/W+	K+	0	0.541516726643	15006
K+/W+	K+?	0	0.571428571429	42
K+/W+	W	0	0.544715447154	1722
K+/W+	W+	0	0.58428030303	1056
K+?	H	0	0.591666666667	1680
K+?	K	0	0.517800453515	8820
K+?	K+	0	0.520896403343	105042
K+?	W	0	0.571843371495	12054
K+?	W+	0	0.603896103896	7392
K?	H	0	0.658333333333	240
K?	K	0	0.6	1260
K?	K+	0	0.48593895775	15006
K?	K+?	0	0.357142857143	42
K?	W	0	0.644599303136	1722
K?	W+	0	0.610795454545	1056
W	H	0	0.533333333333	10080
W	K	0	0.514663643235	52920
W	K+	0	0.571472998102	630252
W	K+?	0	0.539682539683	1764
W	W+	0	0.554743867244	44352
W+	H	0	0.599242424242	7920
W+	K	0	0.571524771525	41580
W+	K+	0	0.567122645891	495198
W+	K+?	0	0.506493506494	1386
W+	W	0	0.540122479147	56826
W?	H	0	0.633333333333	240
W?	K	0	0.426984126984	1260
W?	K+	0	0.551845928295	15006
W?	K+?	0	0.5	42
W?	W	0	0.504645760743	1722
W?	W+	0	0.64678030303	1056
