call_2	call_1	by	score	n
H	K	0	0.866071428571	20160
H	K+	0	0.84862305078	240096
H	K+?	0	0.997023809524	672
H	W	0	0.835039198606	27552
H	W+	0	0.880622632576	16896
H?	H	0	0.991666666667	240
H?	K	0	0.836507936508	1260
H?	K+	0	0.737971478075	15006
H?	K+?	0	1.0	42
H?	W	0	0.908246225319	1722
H?	W+	0	0.923295454545	1056
K	H	0	0.992939814815	8640
K	K+	0	0.727505294179	540216
K	K+?	0	0.984788359788	1512
K	W	0	0.882484836753	61992
K	W+	0	0.945417718855	38016
K+	H	0	0.993800813008	29520
K+	K	0	0.796586656343	154980
K+	K+?	0	0.966511807975	5166
K+	W	0	0.946441555008	211806
K+	W+	0	0.94685421286	129888
K+/W+	H	0	1.0	240
K+/W+	K	0	0.770634920635	1260
K+/W+	K+	0	0.782953485273	15006
K+/W+	K+?	0	1.0	42
K+/W+	W	0	0.88850174216	1722
K+/W+	W+	0	0.871212121212	1056
K+?	H	0	0.999404761905	1680
K+?	K	0	0.789002267574	8820
K+?	K+	0	0.710258753641	105042
K+?	W	0	0.927161108346	12054
K+?	W+	0	0.942234848485	7392
K?	H	0	0.979166666667	240
K?	K	0	0.815873015873	1260
K?	K+	0	0.747900839664	15006
K?	K+?	0	0.97619047619	42
K?	W	0	0.914053426249	1722
K?	W+	0	0.953598484848	1056
W	H	0	0.959325396825	10080
W	K	0	0.80425170068	52920
W	K+	0	0.867952818872	630252
W	K+?	0	0.988662131519	1764
W	W+	0	0.877074314574	44352
W+	H	0	0.952525252525	7920
W+	K	0	0.87999037999	41580
W+	K+	0	0.863797915177	495198
W+	K+?	0	0.992784992785	1386
W+	W	0	0.831503185162	56826
W?	H	0	0.983333333333	240
W?	K	0	0.761904761905	1260
W?	K+	0	0.75556444089	15006
W?	K+?	0	0.97619047619	42
W?	W	0	0.897793263647	1722
W?	W+	0	0.948863636364	1056
