call_2	call_1	by	score	n
H	K	0	0.533978174603	20160
H	K+	0	0.561666999867	240096
H	K+?	0	0.498511904762	672
H	W	0	0.470238095238	27552
H	W+	0	0.534327651515	16896
H?	H	0	0.575	240
H?	K	0	0.451587301587	1260
H?	K+	0	0.537385045982	15006
H?	K+?	0	0.5	42
H?	W	0	0.516260162602	1722
H?	W+	0	0.689393939394	1056
K	H	0	0.642824074074	8640
K	K+	0	0.535000814489	540216
K	K+?	0	0.500661375661	1512
K	W	0	0.559410891728	61992
K	W+	0	0.635916456229	38016
K+	H	0	0.669444444444	29520
K+	K	0	0.532062201574	154980
K+	K+?	0	0.508710801394	5166
K+	W	0	0.604732632692	211806
K+	W+	0	0.620503818675	129888
K+/W+	H	0	0.7875	240
K+/W+	K	0	0.444444444444	1260
K+/W+	K+	0	0.541583366653	15006
K+/W+	K+?	0	0.571428571429	42
K+/W+	W	0	0.544715447154	1722
K+/W+	W+	0	0.58428030303	1056
K+?	H	0	0.591666666667	1680
K+?	K	0	0.51768707483	8820
K+?	K+	0	0.52093448335	105042
K+?	W	0	0.571677451468	12054
K+?	W+	0	0.603760822511	7392
K?	H	0	0.658333333333	240
K?	K	0	0.6	1260
K?	K+	0	0.486072237772	15006
K?	K+?	0	0.357142857143	42
K?	W	0	0.644599303136	1722
K?	W+	0	0.610795454545	1056
W	H	0	0.533134920635	10080
W	K	0	0.514739229025	52920
W	K+	0	0.571474584769	630252
W	K+?	0	0.539682539683	1764
W	W+	0	0.554788961039	44352
W+	H	0	0.59898989899	7920
W+	K	0	0.571572871573	41580
W+	K+	0	0.567102451949	495198
W+	K+?	0	0.506493506494	1386
W+	W	0	0.54008728399	56826
W?	H	0	0.633333333333	240
W?	K	0	0.426984126984	1260
W?	K+	0	0.551712648274	15006
W?	K+?	0	0.5	42
W?	W	0	0.504645760743	1722
W?	W+	0	0.64678030303	1056
