call_2	call_1	by	score	n
H	K	0	0.641021825397	20160
H	K+	0	0.670386012262	240096
H	K+?	0	0.333333333333	672
H	W	0	0.486970092915	27552
H	W+	0	0.519472064394	16896
H?	H	0	0.670833333333	240
H?	K	0	0.749206349206	1260
H?	K+	0	0.761695321871	15006
H?	K+?	0	0.380952380952	42
H?	W	0	0.68931475029	1722
H?	W+	0	0.775568181818	1056
K	H	0	0.540972222222	8640
K	K+	0	0.530295289292	540216
K	K+?	0	0.265211640212	1512
K	W	0	0.476577622919	61992
K	W+	0	0.521438341751	38016
K+	H	0	0.582147696477	29520
K+	K	0	0.546431797651	154980
K+	K+?	0	0.304490902052	5166
K+	W	0	0.528946299916	211806
K+	W+	0	0.524690502587	129888
K+/W+	H	0	0.504166666667	240
K+/W+	K	0	0.263492063492	1260
K+/W+	K+	0	0.311941889911	15006
K+/W+	K+?	0	0.238095238095	42
K+/W+	W	0	0.284552845528	1722
K+/W+	W+	0	0.36553030303	1056
K+?	H	0	0.757142857143	1680
K+?	K	0	0.781179138322	8820
K+?	K+	0	0.816511490642	105042
K+?	W	0	0.744649079144	12054
K+?	W+	0	0.786661255411	7392
K?	H	0	0.616666666667	240
K?	K	0	0.719841269841	1260
K?	K+	0	0.623017459683	15006
K?	K+?	0	0.238095238095	42
K?	W	0	0.662020905923	1722
K?	W+	0	0.563446969697	1056
W	H	0	0.534523809524	10080
W	K	0	0.632898715042	52920
W	K+	0	0.680173962161	630252
W	K+?	0	0.365646258503	1764
W	W+	0	0.524598665224	44352
W+	H	0	0.679924242424	7920
W+	K	0	0.736916786917	41580
W+	K+	0	0.731046975149	495198
W+	K+?	0	0.412698412698	1386
W+	W	0	0.597103438567	56826
W?	H	0	0.625	240
W?	K	0	0.557142857143	1260
W?	K+	0	0.694255631081	15006
W?	K+?	0	0.357142857143	42
W?	W	0	0.533681765389	1722
W?	W+	0	0.598484848485	1056
