call_2	call_1	by	score	n
1	1?	0	1.0	80
1	2	0	0.900615942029	193200
1	2/4	0	1.0	480
1	3	0	0.985704125178	56240
1	4	0	0.849526515152	42240
1?	1	0	0.995192307692	3120
1?	2	0	0.820186335404	9660
1?	2/4	0	1.0	24
1?	3	0	0.984352773826	2812
1?	4	0	0.859848484848	2112
2	1	0	0.991822344322	109200
2	1?	0	1.0	140
2	2/4	0	0.988095238095	840
2	3	0	0.904399512294	98420
2	4	0	0.86930465368	73920
2/3	1	0	0.998076923077	1560
2/3	1?	0	1.0	2
2/3	2	0	0.724016563147	4830
2/3	2/4	0	1.0	12
2/3	3	0	0.949502133713	1406
2/3	4	0	0.893939393939	1056
2/4	1	0	1.0	6240
2/4	1?	0	1.0	8
2/4	2	0	0.689026915114	19320
2/4	3	0	0.937411095306	5624
2/4	4	0	0.85771780303	4224
3	1	0	1.0	59280
3	1?	0	1.0	76
3	2	0	0.741478696742	183540
3	2/4	0	1.0	456
3	4	0	0.933662280702	40128
4	1	0	0.977117327117	51480
4	1?	0	1.0	66
4	2	0	0.810521362695	159390
4	2/4	0	1.0	396
4	3	0	0.977930083193	46398
4/2	1	0	1.0	1560
4/2	1?	0	1.0	2
4/2	2	0	0.793788819876	4830
4/2	2/4	0	1.0	12
4/2	3	0	0.96586059744	1406
4/2	4	0	0.785984848485	1056
