call_2	call_1	by	score	n
1	1?	0	0.7125	80
1	2	0	0.758359213251	193200
1	2/4	0	0.960416666667	480
1	3	0	0.815753911807	56240
1	4	0	0.707007575758	42240
1?	1	0	0.698397435897	3120
1?	2	0	0.678260869565	9660
1?	2/4	0	0.916666666667	24
1?	3	0	0.766358463727	2812
1?	4	0	0.760416666667	2112
2	1	0	0.930668498168	109200
2	1?	0	0.9	140
2	2/4	0	0.739285714286	840
2	3	0	0.672475106686	98420
2	4	0	0.640597943723	73920
2/3	1	0	0.891025641026	1560
2/3	1?	0	1.0	2
2/3	2	0	0.63768115942	4830
2/3	2/4	0	0.75	12
2/3	3	0	0.837126600284	1406
2/3	4	0	0.493371212121	1056
2/4	1	0	0.96875	6240
2/4	1?	0	1.0	8
2/4	2	0	0.439440993789	19320
2/4	3	0	0.758890469417	5624
2/4	4	0	0.631865530303	4224
3	1	0	0.913124156545	59280
3	1?	0	0.855263157895	76
3	2	0	0.542072572736	183540
3	2/4	0	0.885964912281	456
3	4	0	0.738013357257	40128
4	1	0	0.856934731935	51480
4	1?	0	0.984848484848	66
4	2	0	0.568141037706	159390
4	2/4	0	0.719696969697	396
4	3	0	0.805702832019	46398
4/2	1	0	0.976282051282	1560
4/2	1?	0	1.0	2
4/2	2	0	0.517598343685	4830
4/2	2/4	0	0.583333333333	12
4/2	3	0	0.849217638691	1406
4/2	4	0	0.392992424242	1056
