call_2	call_1	by	score	n
1	1?	0	0.7125	80
1	2	0	0.758245341615	193200
1	2/4	0	0.960416666667	480
1	3	0	0.815931721195	56240
1	4	0	0.70703125	42240
1?	1	0	0.698397435897	3120
1?	2	0	0.678467908903	9660
1?	2/4	0	0.916666666667	24
1?	3	0	0.76600284495	2812
1?	4	0	0.761363636364	2112
2	1	0	0.930622710623	109200
2	1?	0	0.9	140
2	2/4	0	0.739285714286	840
2	3	0	0.672424304003	98420
2	4	0	0.640652056277	73920
2/3	1	0	0.891666666667	1560
2/3	1?	0	1.0	2
2/3	2	0	0.637888198758	4830
2/3	2/4	0	0.75	12
2/3	3	0	0.836415362731	1406
2/3	4	0	0.492424242424	1056
2/4	1	0	0.96875	6240
2/4	1?	0	1.0	8
2/4	2	0	0.440476190476	19320
2/4	3	0	0.759246088193	5624
2/4	4	0	0.632575757576	4224
3	1	0	0.913107287449	59280
3	1?	0	0.855263157895	76
3	2	0	0.54213795358	183540
3	2/4	0	0.885964912281	456
3	4	0	0.738162878788	40128
4	1	0	0.856837606838	51480
4	1?	0	0.984848484848	66
4	2	0	0.568279063931	159390
4	2/4	0	0.722222222222	396
4	3	0	0.805789042631	46398
4/2	1	0	0.976282051282	1560
4/2	1?	0	1.0	2
4/2	2	0	0.517805383023	4830
4/2	2/4	0	0.583333333333	12
4/2	3	0	0.849217638691	1406
4/2	4	0	0.394886363636	1056
