call_2	call_1	by	score	n
1	1?	0	0.8875	80
1	2	0	0.871785714286	193200
1	2/4	0	0.995833333333	480
1	3	0	0.915967283073	56240
1	4	0	0.769034090909	42240
1?	1	0	0.814423076923	3120
1?	2	0	0.879296066253	9660
1?	2/4	0	1.0	24
1?	3	0	0.983285917496	2812
1?	4	0	0.878314393939	2112
2	1	0	0.914322344322	109200
2	1?	0	0.971428571429	140
2	2/4	0	0.741666666667	840
2	3	0	0.597083926031	98420
2	4	0	0.597010281385	73920
2/3	1	0	0.830769230769	1560
2/3	1?	0	0.5	2
2/3	2	0	0.528571428571	4830
2/3	2/4	0	0.833333333333	12
2/3	3	0	0.660028449502	1406
2/3	4	0	0.550189393939	1056
2/4	1	0	0.943108974359	6240
2/4	1?	0	1.0	8
2/4	2	0	0.456055900621	19320
2/4	3	0	0.690611664296	5624
2/4	4	0	0.592329545455	4224
3	1	0	0.919719973009	59280
3	1?	0	1.0	76
3	2	0	0.636793069631	183540
3	2/4	0	0.921052631579	456
3	4	0	0.722687400319	40128
4	1	0	0.822319347319	51480
4	1?	0	1.0	66
4	2	0	0.527053140097	159390
4	2/4	0	0.691919191919	396
4	3	0	0.713953187637	46398
4/2	1	0	0.952564102564	1560
4/2	1?	0	1.0	2
4/2	2	0	0.606625258799	4830
4/2	2/4	0	0.666666666667	12
4/2	3	0	0.876955903272	1406
4/2	4	0	0.516098484848	1056
