call_2	call_1	by	score	n
?	B	0	0.501750878468	825300
?	BS	0	0.682261208577	1026
?	Bw	0	0.634920634921	126
?	C	0	0.787878787879	330
?	x	0	0.666666666667	6
B	?	0	0.41873015873	3150
B	BS	0	0.620640490114	179550
B	Bw	0	0.628480725624	22050
B	C	0	0.789402597403	57750
B	x	0	0.737142857143	1050
B?	?	0	0.166666666667	6
B?	B	0	0.50723736823	275100
B?	BS	0	0.710526315789	342
B?	Bw	0	0.666666666667	42
B?	C	0	0.918181818182	110
B?	x	0	0.5	2
BS	?	0	0.535087719298	114
BS	B	0	0.498609883487	5226900
BS	Bw	0	0.59649122807	798
BS	C	0	0.701913875598	2090
BS	x	0	0.842105263158	38
Bw	?	0	0.452380952381	42
Bw	B	0	0.504150698447	1925700
Bw	BS	0	0.644110275689	2394
Bw	C	0	0.916883116883	770
Bw	x	0	0.5	14
C	?	0	0.454545454545	66
C	B	0	0.49541158587	3026100
C	BS	0	0.567783094099	3762
C	Bw	0	0.688311688312	462
C	x	0	1.0	22
x	?	0	0.333333333333	12
x	B	0	0.498664122137	550200
x	BS	0	0.606725146199	684
x	Bw	0	0.47619047619	84
x	C	0	0.972727272727	220
