call_2	call_1	by	score	n
?	B	0	0.298502362777	825300
?	BS	0	0.718323586745	1026
?	Bw	0	0.5	126
?	C	0	0.642424242424	330
?	x	0	0.333333333333	6
B	?	0	0.729206349206	3150
B	BS	0	0.778167641326	179550
B	Bw	0	0.682494331066	22050
B	C	0	0.765991341991	57750
B	x	0	0.662857142857	1050
B?	?	0	0.5	6
B?	B	0	0.445652490004	275100
B?	BS	0	0.918128654971	342
B?	Bw	0	0.714285714286	42
B?	C	0	0.854545454545	110
B?	x	0	0.5	2
BS	?	0	0.833333333333	114
BS	B	0	0.469839101571	5226900
BS	Bw	0	0.630325814536	798
BS	C	0	0.75023923445	2090
BS	x	0	0.605263157895	38
Bw	?	0	0.857142857143	42
Bw	B	0	0.615453601288	1925700
Bw	BS	0	0.879281537176	2394
Bw	C	0	0.881818181818	770
Bw	x	0	0.857142857143	14
C	?	0	0.590909090909	66
C	B	0	0.375310135157	3026100
C	BS	0	0.620946305157	3762
C	Bw	0	0.590909090909	462
C	x	0	0.636363636364	22
x	?	0	0.75	12
x	B	0	0.488466012359	550200
x	BS	0	0.770467836257	684
x	Bw	0	0.642857142857	84
x	C	0	0.822727272727	220
