call_2	call_1	by	score	n
?	B	0	0.536596389192	825300
?	BS	0	1.0	1026
?	Bw	0	1.0	126
?	C	0	1.0	330
?	x	0	1.0	6
B	?	0	0.999365079365	3150
B	BS	0	0.997438039543	179550
B	Bw	0	1.0	22050
B	C	0	0.994614718615	57750
B	x	0	1.0	1050
B?	?	0	1.0	6
B?	B	0	0.523195201745	275100
B?	BS	0	1.0	342
B?	Bw	0	1.0	42
B?	C	0	1.0	110
B?	x	0	1.0	2
BS	?	0	1.0	114
BS	B	0	0.588203715395	5226900
BS	Bw	0	1.0	798
BS	C	0	1.0	2090
BS	x	0	1.0	38
Bw	?	0	1.0	42
Bw	B	0	0.578219348808	1925700
Bw	BS	0	1.0	2394
Bw	C	0	1.0	770
Bw	x	0	1.0	14
C	?	0	1.0	66
C	B	0	0.563155546743	3026100
C	BS	0	1.0	3762
C	Bw	0	1.0	462
C	x	0	1.0	22
x	?	0	1.0	12
x	B	0	0.53461650309	550200
x	BS	0	1.0	684
x	Bw	0	1.0	84
x	C	0	1.0	220
