call_2	call_1	by	score	n
?	B	0	0.29907306434	825300
?	BS	0	0.717348927875	1026
?	Bw	0	0.5	126
?	C	0	0.645454545455	330
?	x	0	0.333333333333	6
B	?	0	0.728888888889	3150
B	BS	0	0.77806182122	179550
B	Bw	0	0.682358276644	22050
B	C	0	0.765766233766	57750
B	x	0	0.661904761905	1050
B?	?	0	0.5	6
B?	B	0	0.446099600145	275100
B?	BS	0	0.918128654971	342
B?	Bw	0	0.714285714286	42
B?	C	0	0.854545454545	110
B?	x	0	0.5	2
BS	?	0	0.833333333333	114
BS	B	0	0.469744399166	5226900
BS	Bw	0	0.630325814536	798
BS	C	0	0.74976076555	2090
BS	x	0	0.605263157895	38
Bw	?	0	0.857142857143	42
Bw	B	0	0.615594329335	1925700
Bw	BS	0	0.878863826232	2394
Bw	C	0	0.879220779221	770
Bw	x	0	0.857142857143	14
C	?	0	0.590909090909	66
C	B	0	0.375459171871	3026100
C	BS	0	0.622009569378	3762
C	Bw	0	0.588744588745	462
C	x	0	0.636363636364	22
x	?	0	0.75	12
x	B	0	0.488525990549	550200
x	BS	0	0.770467836257	684
x	Bw	0	0.642857142857	84
x	C	0	0.822727272727	220
